full_name,first_name,last_name,company,Region(s),Stages,Industries
Philip Austin,Philip,Austin,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; AgTech; Food and Beverage; FinTech; Boston / New England
John Brubaker,John,Brubaker,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; Food and Beverage; AgTech; FinTech; Colorado / Utah
Andrew Calabrese,Andrew,Calabrese,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,"Supply Chain Tech; AgTech; Food and Beverage; FinTech; Washington, D.C."
Brett Chevalier,Brett,Chevalier,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; Food and Beverage; AgTech; FinTech; Boston / New England
Maarten Goossens,Maarten,Goossens,Anterra Capital,"Boston, Massachusetts; Amsterdam, Netherlands; London",Seed; Series A; Other Lists,Supply Chain Tech; Advertising; Food and Beverage; AgTech; AI; FinTech; Boston / New England
Dan Harburg,Dan,Harburg,Anterra Capital,Boston / New England,Seed; Other Lists,Food and Beverage; Logistics; AgTech
Michelle Haven,Michelle,Haven,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; AgTech; Food and Beverage; FinTech
Dudley Hawes,Dudley,Hawes,Anterra Capital,Boston / New England,Seed; Other Lists,Food and Beverage; Logistics; AgTech
Jacqueline Heard,Jacqueline,Heard,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; Food and Beverage; AgTech; FinTech; Boston / New England
Juergen Horn,Juergen,Horn,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; Food and Beverage; AgTech; FinTech; Boston / New England
Bela Jankovich,Bela,Jankovich,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; AgTech; Food and Beverage; FinTech
Tom Meade,Tom,Meade,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; AgTech; Food and Beverage; FinTech
Yoran Meijers,Yoran,Meijers,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; AgTech; Food and Beverage; FinTech
Andrew Plant,Andrew,Plant,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; AgTech; Food and Beverage; FinTech
Randolph Seidler,Randolph,Seidler,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; Food and Beverage; AgTech; FinTech
Claire Smith,Claire,Smith,Anterra Capital,Boston / New England,Seed; Other Lists,Food and Beverage; Logistics; AgTech
Anneke Stelte,Anneke,Stelte,Anterra Capital,Boston / New England,Seed; Other Lists,Food and Beverage; Logistics; AgTech
Willemijn Verloop,Willemijn,Verloop,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; AgTech; Food and Beverage; FinTech
Axel Wehr,Axel,Wehr,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; Food and Beverage; AgTech; FinTech
Michael Widmann,Michael,Widmann,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; AgTech; Food and Beverage; FinTech; Boston / New England
Brett Wong,Brett,Wong,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,Supply Chain Tech; AgTech; Food and Beverage; FinTech; Boston / New England
Arnoud Aalbersberg,Arnoud,Aalbersberg,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,MarketingTech; Education; Enterprise Applications; Marketplaces; E-commerce; Consumer Internet; SaaS
Marco Aarnink,Marco,Aarnink,Dutch Founders Fund,Netherlands,Pre-seed; Seed; Series A,MarketingTech; Education; Enterprise Applications; E-commerce; Marketplaces; Consumer Internet; SaaS
Bastiaan Beerens,Bastiaan,Beerens,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,MarketingTech; Enterprise Applications; Education; E-commerce; Marketplaces; Consumer Internet; SaaS
Thomas Beguin,Thomas,Beguin,Dutch Founders Fund,Netherlands,Pre-seed; Seed; Series A,MarketingTech; Enterprise Applications; Education; Marketplaces; E-commerce; Consumer Internet; SaaS; FinTech
Mart de Haar,Mart,de Haar,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed,MarketingTech; Enterprise Applications; Education; Marketplaces; E-commerce; Consumer Internet; SaaS
Laurens Groenendijk,Laurens,Groenendijk,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A; Other Lists,Chemicals; ConstructionTech; Manufacturing; Enterprise Applications; TransportationTech; Education; E-commerce; Marketplaces; Consumer Internet; SaaS; Diverse Investors; Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders
Hidde Hoogcarspel,Hidde,Hoogcarspel,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,MarketingTech; Enterprise Applications; Education; E-commerce; Marketplaces; Consumer Internet; SaaS
Patrick Kerssemakers,Patrick,Kerssemakers,Dutch Founders Fund,Netherlands,Pre-seed; Seed; Series A,MarketingTech; Enterprise Applications; Education; E-commerce; Marketplaces; Consumer Internet; SaaS; FinTech
Federico Maroli,Federico,Maroli,Dutch Founders Fund,Middle East; Europe,Pre-seed; Seed; Other Lists,Travel; Wellness & Fitness; Social Networks; Marketplaces; SaaS; Diverse Investors; Investors who invested in female founders; Investors who invested in diverse founders
Bas Rieter,Bas,Rieter,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,Education; E-commerce; Marketplaces; Consumer Internet; SaaS
Sam Rimmelzwaan,Sam,Rimmelzwaan,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed,MarketingTech; Enterprise Applications; Education; Marketplaces; E-commerce; Consumer Internet; SaaS
Erik Jan Schreurs,Erik Jan,Schreurs,Dutch Founders Fund,Netherlands,Pre-seed; Seed; Series A,MarketingTech; Enterprise Applications; Education; E-commerce; Marketplaces; Consumer Internet; SaaS
Karlo Soltic,Karlo,Soltic,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed,MarketingTech; Education; Enterprise Applications; Marketplaces; E-commerce; Consumer Internet; SaaS
Thibaud Ludovicus Van Der Putten,Thibaud Ludovicus,Van Der Putten,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,Education; Marketplaces; E-commerce; SaaS
Remco van Zanten,Remco,van Zanten,Dutch Founders Fund,"Cape Town, South Africa",Pre-seed; Seed; Series A,MarketingTech; Enterprise Applications; Education; E-commerce; Marketplaces; Consumer Internet; SaaS
Eric Veeneman,Eric,Veeneman,Dutch Founders Fund,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,MarketingTech; Education; Enterprise Applications; Marketplaces; E-commerce; Consumer Internet; SaaS
Carien Beyer,Carien,Beyer,INKEF Capital,United Kingdom,Seed; Series A,Digital Health; Health & Hospital Services; Health IT
Estelle Botbol,Estelle,Botbol,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,Medical Devices; Digital Health; Health & Hospital Services; Health IT
Simone Botti,Simone,Botti,INKEF Capital,"Tel Aviv, Israel",Seed; Series A; Series B; Other Lists,Medical Devices; Digital Health; Health & Hospital Services; BioTech; Health IT; Israel
Roel Bulthuis,Roel,Bulthuis,INKEF Capital,"Amsterdam, Netherlands",Series A; Series B,Pharmaceuticals; Digital Health; BioTech; Health & Hospital Services; Health IT
Ivan Burkov,Ivan,Burkov,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,Digital Health; Health & Hospital Services; Health IT
Jacobo Cucalon,Jacobo,Cucalon,INKEF Capital,Europe,Seed; Series A; Series B; Other Lists,Future of Work; Developer Tools; DeepTech; Cybersecurity; Data Services; Cloud Infrastructure; E-commerce; AI; SaaS; Enterprise; Investors who invested in female founders; Investors who invested in diverse founders
Robert Jan Galema,Robert Jan,Galema,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,E-commerce; AI; Consumer Internet; Enterprise
Corné Jansen,Corné,Jansen,INKEF Capital,"San Francisco Bay Area; San Francisco, California; New York City; Amsterdam, Netherlands",Seed; Series A; Series B; Other Lists,DeepTech; Enterprise Applications; Marketplaces; SaaS; Enterprise; FinTech
Kunal Singhania,Kunal,Singhania,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,Enterprise Applications; Marketplaces; AI; Enterprise; FinTech
Michael Stam,Michael,Stam,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,Media/Content; Consumer Health; Digital Health; BioTech; Health & Hospital Services; Health IT; FinTech
Amanda Stenbaek,Amanda,Stenbaek,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,BioTech; Digital Health; Health & Hospital Services; Health IT
Thijs Cohen Tervaert,Thijs Cohen,Tervaert,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,Digital Health; Health & Hospital Services; Health IT
Alice Vickers,Alice,Vickers,INKEF Capital,United Kingdom,Seed; Series A,BioTech; Digital Health; Health & Hospital Services; Health IT
Laura Waldenstrom,Laura,Waldenstrom,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A,Digital Health; Health & Hospital Services; Health IT
Kyang Yung,Kyang,Yung,INKEF Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Manufacturing; Enterprise Applications; Marketplaces; FinTech
Friso Bensdorp,Friso,Bensdorp,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; TransportationTech; EnergyTech
Julie Eeftink,Julie,Eeftink,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; EnergyTech; TransportationTech
Frederik de Hosson,Frederik de,Hosson,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; TransportationTech; EnergyTech
Rui Li,Rui,Li,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; TransportationTech; EnergyTech
Eline Peeters,Eline,Peeters,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; EnergyTech; TransportationTech
Steven Uitentuis,Steven,Uitentuis,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; TransportationTech; EnergyTech
Max van Zoest,Max van,Zoest,Ponooc,"Amsterdam, Netherlands",Seed; Series A; Series B,Logistics; TransportationTech; EnergyTech
Olivia Deng,Olivia,Deng,Banana Capital,"New York, New York",Pre-seed; Seed; Other Lists,Enterprise Applications; Consumer Internet; Enterprise; New York City
Turner Novak,Turner,Novak,Banana Capital,"Annapolis, Maryland; Global",Pre-seed; Seed; Other Lists,"E-commerce; Social Commerce; SaaS; Washington, D.C.; Midwest"
Dan Chuparkoff,Dan,Chuparkoff,Mudita Venture Partners,"Chicago, Illinois",Seed; Series A; Other Lists,Enterprise; Midwest
Ethan Linkner,Ethan,Linkner,Mudita Venture Partners,"Ann Arbor, Michigan",Seed; Series A; Other Lists,SaaS; Midwest
Josh Linkner,Josh,Linkner,Mudita Venture Partners,"Detroit, Michigan",Seed; Series A; Other Lists,SMB Software; Midwest
Gary Shuman,Gary,Shuman,Mudita Venture Partners,"Detroit, Michigan",Seed; Series A; Other Lists,SMB Software; Midwest
Josh Tolman,Josh,Tolman,Mudita Venture Partners,"Chicago, Illinois",Seed; Series A; Other Lists,"Education; Analytics; SaaS; Enterprise; FinTech; Future of Work; Midwest; Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders; Angel, Scout, and Solo-Capitalists"
Ben Trumbull,Ben,Trumbull,Tamarind Hill,"Pittsburgh, Pennsylvania; Louisville/Jefferson County, Kentucky; Indianapolis, Indiana; Cincinnati, Ohio; Ann Arbor, Michigan; Grand Rapids, Michigan; Kalamazoo, Michigan; Kansas City, Kansas; Cleveland, Ohio; Columbus, Ohio; Lexington-Fayette, Kentucky; Toledo, Ohio; Chicago, Illinois",Seed; Series A; Other Lists,Health & Hospital Services; Health IT; Insurance; Logistics; IoT; Enterprise; Marketplaces; SaaS; Midwest
Gabriel Aguilera,Gabriel,Aguilera,Alaya Capital,Argentina,Seed; Series A; Other Lists,"Enterprise; Consumer Internet; LatAm (Latin America); Angel, Scout, and Solo-Capitalists"
Carlos Baradello,Carlos,Baradello,Alaya Capital,Sausalito,Seed; Series A; Other Lists,"Consumer Internet; Enterprise; Angel, Scout, and Solo-Capitalists"
Claudio Barahona Jacobs,Claudio,Barahona Jacobs,Alaya Capital,"Santiago, Chile; Chile",Pre-seed; Series A; Other Lists,MarketingTech; AgTech; Health & Hospital Services; Health IT; BioTech; FinTech; LatAm (Latin America)
Mario Barra,Mario,Barra,Alaya Capital,"Miami, Florida",Seed; Series A; Other Lists,SMB Software; Data Services; Raleigh-Durham / Southeast US
Luis Bermejo,Luis,Bermejo,Alaya Capital,Argentina,Seed; Series A; Other Lists,Impact; LatAm (Latin America)
Ravi Chari,Ravi,Chari,Alaya Capital,New York City,Seed; Series A; Other Lists,Enterprise; Consumer Internet
Carolina Costa,Carolina,Costa,Alaya Capital,"Argentina; Santiago, Chile",Seed; Series A; Other Lists,Impact; LatAm (Latin America)
Juan Manuel Giner Gonzalez,Juan Manuel,Giner Gonzalez,Alaya Capital,Argentina,Seed; Series A; Other Lists,Consumer Internet; Enterprise; LatAm (Latin America)
Luis Narro,Luis,Narro,Alaya Capital,Peru,Seed; Series A; Other Lists,Consumer Internet; Enterprise; LatAm (Latin America)
Lorena Piazze,Lorena,Piazze,Alaya Capital,Argentina,Seed; Series A; Other Lists,"Enterprise; Consumer Internet; LatAm (Latin America); Angel, Scout, and Solo-Capitalists"
Oriol Rius,Oriol,Rius,Alaya Capital,"New York, New York",Seed; Series A; Other Lists,Impact; New York City
Lorena Andrea Suarez,Lorena Andrea,Suarez,Alaya Capital,Argentina,Seed; Series A; Other Lists,Impact; Insurance; FinTech; LatAm (Latin America)
Juan Sebastián Valderrama,Juan Sebastián,Valderrama,Alaya Capital,Chile,Seed; Series A; Other Lists,Impact; LatAm (Latin America)
Diego Bravo,Diego,Bravo,Cygnus Capital,Argentina,Seed; Series A; Other Lists,AgTech; ClimateTech/CleanTech; BioTech; FinTech; LatAm (Latin America)
Ignacio Plaza,Ignacio,Plaza,Cygnus Capital,Argentina,Pre-seed; Seed; Series A; Other Lists,FinTech; LatAm (Latin America)
Diego Steverlynck,Diego,Steverlynck,Cygnus Capital,Argentina,Seed; Series A; Other Lists,Food and Beverage; AgTech; ClimateTech/CleanTech; BioTech; Consumer Internet; Enterprise; FinTech; LatAm (Latin America)
Valentina Terranova,Valentina,Terranova,Cygnus Capital,Argentina,Pre-seed; Seed; Series A; Other Lists,DeepTech; Web3/Crypto; Web3/Blockchain; LatAm (Latin America)
Arturo Torres,Arturo,Torres,Cygnus Capital,Argentina,Seed; Series A; Other Lists,DeepTech; Impact; Food and Beverage; AgTech; ClimateTech/CleanTech; BioTech; Web3/Crypto; Web3/Blockchain; AI; FinTech; LatAm (Latin America)
Fernando Johann,Fernando,Johann,Kamay Ventures,Uruguay,Seed; Series A; Series B; Other Lists,Cybersecurity; Web3/Crypto; Web3/Blockchain; AI; LatAm (Latin America)
Marcos Letemendia,Marcos,Letemendia,Kamay Ventures,Argentina,Seed; Series A; Other Lists,DeepTech; ClimateTech/CleanTech; Food and Beverage; AgTech; E-commerce; LatAm (Latin America)
Antonio Peña,Antonio,Peña,Kamay Ventures,LatAm (Latin America),Pre-seed; Seed; Other Lists,"Analytics; IoT; Retail; Education; Future of Work; Payments; AI; E-commerce; SaaS; FinTech; Diverse Investors; Investors who were founders; Angel, Scout, and Solo-Capitalists"
Laura Prado,Laura,Prado,Kamay Ventures,Argentina,Seed; Series A; Series B; Other Lists,Impact; ClimateTech/CleanTech; Payments; FinTech; LatAm (Latin America)
Gabriela Ruggeri,Gabriela,Ruggeri,Kamay Ventures,Argentina,Seed; Series A; Series B; Other Lists,Impact; ClimateTech/CleanTech; Payments; LatAm (Latin America)
Jorge Aguado,Jorge,Aguado,Newtopia VC,Argentina,Pre-seed; Seed; Series A; Other Lists,Pharmaceuticals; Impact; EnergyTech; LatAm (Latin America)
Luis Florez,Luis,Florez,Newtopia VC,"San Francisco Bay Area; San Francisco, California; New York City; Medellin, Colombia; Colombia",Pre-seed; Seed; Series A; Other Lists,MarketingTech; Education; Digital Health; BioTech; Health & Hospital Services; Health IT; AI; Consumer Internet; FinTech; LatAm (Latin America)
Pato Jutard,Pato,Jutard,Newtopia VC,"San Francisco, California; San Francisco Bay Area; New York City; Buenos Aires, Argentina",Pre-seed; Seed; Series A; Other Lists,Games; Cloud Infrastructure; Consumer Internet
Agostina Kobak,Agostina,Kobak,Newtopia VC,Argentina,Pre-seed; Seed; Other Lists,Impact; Consumer Health; Digital Health; E-commerce; Health IT; Health & Hospital Services; FinTech; LatAm (Latin America)
Juan Pablo Lafosse,Juan Pablo,Lafosse,Newtopia VC,Argentina,Pre-seed; Series A; Other Lists,Travel; Future of Work; LatAm (Latin America)
Mariano Mayer,Mariano,Mayer,Newtopia VC,"Buenos Aires, Argentina; Argentina",Pre-seed; Seed; Series A; Other Lists,Real Estate/PropTech; Enterprise; LatAm (Latin America)
Diego Noriega,Diego,Noriega,Newtopia VC,"Buenos Aires, Argentina",Pre-seed; Other Lists,"Gaming/eSports; Enterprise Applications; Social Commerce; Digital Health; Future of Work; Web3/Crypto; E-commerce; Marketplaces; SaaS; FinTech; Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders; Angel, Scout, and Solo-Capitalists"
Francisco Pietrobon,Francisco,Pietrobon,Newtopia VC,Argentina,Pre-seed; Seed; Other Lists,Impact; Consumer Health; Digital Health; E-commerce; Health IT; Health & Hospital Services; FinTech; LatAm (Latin America)
Sacha Spitz,Sacha,Spitz,Newtopia VC,Argentina,Pre-seed; Seed; Series A; Other Lists,FinTech; LatAm (Latin America)
Darly Bendo,Darly,Bendo,NXTP Ventures,Argentina,Seed; Series A; Other Lists,Logistics; Digital Health; LatAm (Latin America)
Alexander Busse,Alexander,Busse,NXTP Ventures,"Buenos Aires, Argentina",Seed; Series A,Logistics; SaaS; Enterprise; FinTech
Marta Cruz,Marta,Cruz,NXTP Ventures,Argentina,Seed; Other Lists,Games; Retail; E-commerce; SaaS; Enterprise; FinTech; LatAm (Latin America)
Santos Quirno,Santos,Quirno,NXTP Ventures,"Buenos Aires, Argentina",Seed; Series A,Logistics; Security; Cloud Infrastructure; Marketplaces; AI; SaaS; FinTech
Lisandro Bril,Lisandro,Bril,Oikos Innovation Capital,Argentina; Global,Seed; Series A; Series B; Other Lists,Cybersecurity; Food and Beverage; AgTech; IoT; Web3/Blockchain; AI; LatAm (Latin America)
Juan Abadi,Juan,Abadi,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Consumer Internet; Enterprise
Nicolas Berman,Nicolas,Berman,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Enterprise; Consumer Internet
Mariana Donangelo,Mariana,Donangelo,Kaszek Ventures,LatAm (Latin America),Pre-seed; Seed; Series A; Series B; Other Lists,Retail; Education; Digital Health; Consumer Internet; SMB Software; E-commerce; Marketplaces; SaaS; FinTech; Female Investors; Investors who invested in female founders; Investors who invested in diverse founders; San Francisco Bay Area
Santiago Fossatti,Santiago,Fossatti,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Enterprise; Consumer Internet
Daniel Franco,Daniel,Franco,Kaszek Ventures,"Mexico, Mexico",Seed; Series A; Other Lists,Human Capital/HRTech; Consumer Internet; LatAm (Latin America)
Hernan Kazah,Hernan,Kazah,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Consumer Internet; Enterprise
Guillermo Laborde,Guillermo,Laborde,Kaszek Ventures,LatAm (Latin America),Seed; Series A; Other Lists,FinTech
Thaisa Miyazaki,Thaisa,Miyazaki,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Consumer Internet; Enterprise
Natalia Navas,Natalia,Navas,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Enterprise; Consumer Internet
Tomas Restrepo,Tomas,Restrepo,Kaszek Ventures,"Bogota, Colombia",Seed; Series A,Human Capital/HRTech; Consumer Internet
Martin Schimmel,Martin,Schimmel,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Consumer Internet; Enterprise
Nicolas Szekasy,Nicolas,Szekasy,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Consumer Internet; Enterprise
Bruna Thalenberg,Bruna,Thalenberg,Kaszek Ventures,"Buenos Aires, Argentina; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Enterprise; Consumer Internet
